Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC116507961	0.971684638295261	4.89238308610369	8.78416918944088	3.80325859681702e-08	0.000333501649478438	8.87976239246184
HSP90AA1	6.80788571322513	8.204454478725	8.49499072043999	6.37370063440528e-08	0.000333501649478438	8.27146605835847
RSRP1	2.81321321050543	3.14214702105182	8.36425617677798	8.07774481863428e-08	0.000333501649478438	7.80469018583126
EXD3	-1.00582686977587	4.09445842581345	-8.2903791143037	9.24403435599579e-08	0.000333501649478438	8.01685514411868
TRAF3IP2	-1.60191014832352	3.67066010493659	-8.0943450161854	1.326720701537e-07	0.000382918128877608	7.62715396573059
LOC116515182	5.02014264855027	9.13795346676382	7.86180481452628	2.05006146542739e-07	0.000493073950126378	7.22325597931463
AKAP8	-1.44874750038631	4.77458783583685	-7.3911437090911	5.05666870553535e-07	0.00104246837270829	6.4601907121539
NSMCE4A	-1.4435241009357	4.93587506549221	-7.29869913270556	6.05897576192959e-07	0.00109296349025507	6.29117991789772
LOC116515433	0.811830464468311	5.33685200838861	7.05078709159494	9.89658630202572e-07	0.00142304162845032	5.82846925870192
STX12	0.789158454073759	3.54362090363942	7.04661257821893	9.97939938682734e-07	0.00142304162845032	5.77434697827536
LZTS3	1.35532152530996	3.83578686571703	6.98274102604768	1.13397564146457e-06	0.00142304162845032	5.66644153074502
GABPA	-1.10858401083921	4.4765586413899	-6.96151271711684	1.18332059742248e-06	0.00142304162845032	5.65250371219436
LOC116518017	6.29399508182447	-3.28862432740336	6.83439129528981	1.52908074030168e-06	0.00164668117396056	-1.57164340854061
TMEM64	1.13248692593547	5.78614577544701	6.812790923413	1.59750096566058e-06	0.00164668117396056	5.37203467424423
DEDD2	-1.08663088236686	6.78020289500328	-6.71169079651154	1.96237589962348e-06	0.00188793644049776	5.17384732978488
SHROOM1	1.84315653242131	6.98358576273281	6.59291766463007	2.50322429006275e-06	0.00225775185811847	4.94094174975182
RBM12B	0.977049680959354	4.69707043773261	6.44674094795775	3.38631156860906e-06	0.00277358939083342	4.6542762791806
HPS1	-1.26648523966882	3.15080652525667	-6.43644264316651	3.45953911960374e-06	0.00277358939083342	4.59551122660351
SRSF5	-1.08675487142083	7.60751949287752	-6.36409821102432	4.02215982406939e-06	0.00305493623269186	4.4878371195646
USP16	0.86076915543174	4.14245577620502	6.32483281298277	4.36618784748084e-06	0.0031504228413498	4.41067990625757
GAREM1	0.8680464942839	5.29189935517153	6.27592263701597	4.83751647539604e-06	0.00332429525030668	4.31287849533193
PFKFB4	-0.976280824846578	3.13233542128266	-6.23426852625578	5.28012116379503e-06	0.00346351947794209	4.20541125773654
ATL2	0.924887263468706	6.34584133767123	6.12076261684775	6.71030982016411e-06	0.00421028178325166	4.00043943504161
LOC116518611	-1.56402251466742	1.86918739946343	-5.99950955401884	8.68423197921554e-06	0.00522175632050248	3.5896770832215
REST	1.02329304805053	5.33236461150515	5.89199998411511	1.09318436461896e-05	0.00631029742632646	3.53079959383213
AHSA1	2.78651041446996	4.3628868860247	5.85040754180856	1.19544982879245e-05	0.00663520633819379	3.45343355783456
SUV39H1	-1.50971935686836	1.67033192695848	-5.80443823804316	1.31996471664929e-05	0.00705496697257994	3.18931338456715
LOC116503736	1.55765469382291	3.88322215855231	5.74161367243219	1.51199130888136e-05	0.0077926952065953	3.23200272003332
DNAJB1	4.05032725898062	6.24029886949082	5.71954275329783	1.58606279654199e-05	0.00789257662651635	3.18570461518736
LOC116515955	1.88888171956924	2.24942684107045	5.6532043745115	1.83189830151331e-05	0.00862203489060013	2.96025427592575
NLRC4	-1.26368081536217	2.1874776004816	-5.64270543395496	1.87424359011006e-05	0.00862203489060013	2.97619085731193
NUP42	-1.70874106485815	0.9295144015353	-5.63299915350706	1.91428380301419e-05	0.00862203489060013	2.68276303428375
GOLGA3	0.694894368428769	4.26169548137001	5.61945193436638	1.97163849622205e-05	0.00862203489060013	2.97373842779064
STX11	-2.31170531523308	0.386640093799484	-5.55471660789163	2.27100401731436e-05	0.0096390761687834	2.3311008295307
KMT2D	0.556717973451409	6.07564425649066	5.53339131211282	2.379504073136e-05	0.00981103522269304	2.78320160961248
LOC116503202	1.85258092870905	0.551017747364924	5.45990086783764	2.7957834697058e-05	0.0112072086809234	2.23897741289908
MAFG	1.27885745224015	2.5720321814651	5.40624932535916	3.14616482679005e-05	0.0122708931392992	2.5232591602039
LOC116506615	-1.04049876064537	6.85655722873849	-5.38913887002284	3.26710606033496e-05	0.0124072651464984	2.48740358001766
GDAP1	-0.725796846991068	3.72758661972262	-5.35447835300227	3.52686652742274e-05	0.0130503104762148	2.42691031158589
