Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	E_FC_08	E_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
MFN1	NA	NA	-0.0263980246811526	6.32850452244886	-0.0629129542284203	0.950763105127774	0.994925036736792	-5.90290682679565	0.808732824042562	5.95292182115992	3.81813631875977	0.00114658549126894	0.987069925746735	-3.47392618732828	NA	NA	NA	NA	NA	NA	NA	NA
MFN2	NA	NA	-0.647997539017137	5.75909576829888	-2.36396950773298	0.0337685994133365	0.832951806593683	-3.57382005676003	0.0415771237591773	5.4814203343467	0.225115505237787	0.824273400846734	0.99100007980372	-4.75294360671006	NA	NA	NA	NA	NA	NA	NA	NA
MFSD1	NA	NA	-0.222035995104924	5.15030404499045	-0.721600815871825	0.48292193443761	0.904636538400807	-5.53670341442416	0.124207597255698	5.18785931984065	0.802720665605296	0.431983067676852	0.987069925746735	-4.66739274581343	NA	NA	NA	NA	NA	NA	NA	NA
MFSD10	NA	NA	0.134327665622895	2.24364372137763	0.218310695681909	0.830471343841318	0.972642202202608	-5.18052830417505	-0.0451664362824249	1.33557201881612	-0.216577078928333	0.830827633662136	0.99100007980372	-4.65968440980573	NA	NA	NA	NA	NA	NA	NA	NA
MFSD11	NA	NA	0.0703774195038953	3.60861337615908	0.16140550075003	0.874178342267959	0.980306286731339	-5.55335526897444	-0.0660249288277708	4.55650292087057	-0.431564314528094	0.670876011821174	0.987069925746735	-4.72863533291923	NA	NA	NA	NA	NA	NA	NA	NA
MFSD12	NA	NA	-1.90004019461972	2.06626874384263	-1.4996886325542	0.156845480445321	0.834153720013405	-4.40460836107001	0.0629584600862336	1.96886430438467	0.154724708786903	0.878656891734617	0.992257226961907	-4.68191048304604	NA	NA	NA	NA	NA	NA	NA	NA
MFSD13A	NA	NA	0.0760893948690691	3.39826949813537	0.153948969954927	0.879940676806123	0.981576303894964	-5.46858344095283	0.0150664139897438	3.60590817182074	0.0917924458788125	0.927816047511402	0.994661780855923	-4.7318747978736	NA	NA	NA	NA	NA	NA	NA	NA
MFSD14A	NA	NA	-0.677735169973412	4.56904499724948	-1.52565696645166	0.15030897100404	0.834153720013405	-4.6038014710578	0.149478171689036	3.96837676690346	0.675499992052744	0.507430977970499	0.987069925746735	-4.6787042590303	NA	NA	NA	NA	NA	NA	NA	NA
MFSD2A	NA	NA	3.15309305411795	-0.71603611037403	2.02377690531706	0.0633729810240403	0.832951806593683	-4.14832452772826	0.70202302573226	1.43271420182581	0.697137918250205	0.494090684157633	0.987069925746735	-4.63073614544629	NA	NA	NA	NA	NA	NA	NA	NA
MFSD2B	NA	NA	-1.21540377135708	2.1523824009384	-1.65744932474258	0.120606155786908	0.832951806593683	-4.28153786148544	-1.2319533879603	1.27523868973547	-2.60054321515052	0.017489625445947	0.987069925746735	-4.34795161434478	NA	NA	NA	NA	NA	NA	NA	NA
MFSD3	NA	NA	-0.698588253872185	2.23669749048052	-1.14905975904553	0.27059647814706	0.856415584982217	-4.76757454428398	0.254795496361529	2.30708531376281	0.835081727936042	0.413965609239557	0.987069925746735	-4.62740460190972	NA	NA	NA	NA	NA	NA	NA	NA
MFSD4B	NA	NA	-2.21116008750495	1.79780911112061	-2.21387193243619	0.0447162203669331	0.832951806593683	-3.81351869485757	0.14907790796356	2.51313527446696	0.249078182442229	0.805951319882032	0.99100007980372	-4.67165977171725	NA	NA	NA	NA	NA	NA	NA	NA
MFSD5	NA	NA	0.614418524582019	3.74460973356714	1.36078320778068	0.195994853853172	0.84118189002332	-4.75275027255556	0.0499049755512004	3.93444373231247	0.252950404114478	0.803001046403333	0.99100007980372	-4.72633578839141	NA	NA	NA	NA	NA	NA	NA	NA
MFSD6	NA	NA	0.747698183813388	-0.173967843205356	0.627886231138056	0.540614916227434	0.913789219352196	-4.81758697947825	0.0544397194089755	-0.878867867161469	0.145901097236339	0.885523790196045	0.992257226961907	-4.6144493527217	NA	NA	NA	NA	NA	NA	NA	NA
MFSD6L	NA	NA	NA	NA	NA	NA	NA	NA	-0.165380443573176	-0.632836127228215	-0.332302960585802	0.743269072208605	0.990860973524507	-4.61271819884906	NA	NA	NA	NA	NA	NA	NA	NA
MFSD8	NA	NA	-1.68018445891803	1.4376120093685	-1.32199091380932	0.208259489156006	0.846308390082916	-4.54972456748916	-0.163229051604501	2.89954682270296	-0.692414475929704	0.49698541605704	0.987069925746735	-4.65650879204671	NA	NA	NA	NA	NA	NA	NA	NA
MFSD9	NA	NA	0.101654686767781	2.76429531053579	0.207195846408775	0.83896737591831	0.974713845480053	-5.35238216194998	0.278833478850883	3.42080458107255	1.73457826456771	0.0988777403316423	0.987069925746735	-4.40522454023196	NA	NA	NA	NA	NA	NA	NA	NA
MGA	NA	NA	-0.622428844497393	4.35797322782795	-0.908290820174517	0.379744468529422	0.884173017898158	-5.24261133124558	-0.107335838879273	4.82658563396767	-0.61833448331647	0.543637442492094	0.987069925746735	-4.70020558408678	NA	NA	NA	NA	NA	NA	NA	NA
MGAT1	NA	NA	-0.380117568517455	7.34431467611049	-0.708992609734972	0.490461541003405	0.906275153232993	-5.67002612902119	-0.125865168306546	7.74209566863626	-0.760238856018694	0.456367282887379	0.987069925746735	-4.66606868432023	NA	NA	NA	NA	NA	NA	NA	NA
MGAT2	NA	NA	0.192863054548186	4.95792093495875	0.658140949831006	0.521576694207128	0.910609440351017	-5.5850911784295	-0.0646622733714013	5.69956659879711	-0.403878936343765	0.690774776258635	0.987069925746735	-4.73612889900398	NA	NA	NA	NA	NA	NA	NA	NA
MGAT3	NA	NA	1.28674501428691	-0.915727797028819	0.652472472493087	0.525114203395651	0.910609440351017	-4.76835101341111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MGAT4A	NA	NA	-0.236743333861483	0.952423627923609	-0.223322985032782	0.826647170090644	0.972642202202608	-5.04664715632864	0.123081437645496	1.97785298794466	0.455042025228483	0.654193918501276	0.987069925746735	-4.65588213818815	NA	NA	NA	NA	NA	NA	NA	NA
